# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAP1	YHR047C	YHR047C	protein_coding	0	3	0	664	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	0	0	3	243
AAR2	YBL074C	YBL074C	protein_coding	0	56	25	912	0	0	0	0	599	0	0	0	25	0	0	0	0	0	0	0	0	56	313
AAT1	YKL106W	YKL106W	protein_coding	0	138	35	515	0	0	0	0	229	0	0	0	35	0	0	0	0	0	0	0	0	138	286
AAT2	YLR027C	YLR027C	protein_coding	0	100	21	708	0	0	0	0	440	0	0	0	21	0	0	0	0	0	0	0	0	100	268
ABD1	YBR236C	YBR236C	protein_coding	0	76	8	1050	0	0	0	0	632	0	0	0	8	0	0	0	0	0	0	0	0	76	418
ABF1	YKL112W	YKL112W	protein_coding	0	209	68	777	0	0	0	0	292	0	0	0	68	0	0	0	0	0	0	0	0	209	485
ABF2	YMR072W	YMR072W	protein_coding	0	63	24	691	0	0	0	0	461	0	0	0	24	0	0	0	0	0	0	0	0	63	230
ABM1	YJR108W	YJR108W	protein_coding	1	2	2	1026	0	0	0	0	448	0	0	0	2	0	0	0	1	0	0	1	0	2	578
ABP1	YCR088W	YCR088W	protein_coding	0	158	73	402	0	0	0	0	19	0	0	0	73	0	0	0	0	0	0	0	0	158	383
ABP140	YOR239W	YOR239W	protein_coding	1	106	27	893	0	0	0	0	522	0	0	0	27	0	0	0	0	0	1	0	0	106	371
ABZ1	YNR033W	YNR033W	protein_coding	0	283	125	898	0	0	0	0	383	0	0	0	125	0	0	0	0	0	0	0	0	283	515
ABZ2	YMR289W	YMR289W	protein_coding	0	80	73	947	0	0	0	0	371	0	0	0	73	0	0	0	0	0	0	0	0	80	576
ACA1	YER045C	YER045C	protein_coding	1	8	8	636	0	0	0	0	373	0	0	0	8	0	0	0	0	0	1	0	0	8	263
ACB1	YGR037C	YGR037C	protein_coding	0	0	0	300	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	72
ACC1	YNR016C	YNR016C	protein_coding	0	646	47	697	0	0	0	0	407	0	0	0	47	0	0	0	0	0	0	0	0	646	290
ACE2	YLR131C	YLR131C	protein_coding	0	103	47	1008	0	0	0	0	465	0	0	0	47	0	0	0	0	0	0	0	0	103	543
ACF2	YLR144C	YLR144C	protein_coding	1	171	95	922	0	0	0	0	282	0	0	0	95	0	0	0	0	0	1	0	0	171	640
ACF4	YJR083C	YJR083C	protein_coding	0	55	21	863	0	0	0	0	446	0	0	0	21	0	0	0	0	0	0	0	0	55	417
ACH1	YBL015W	YBL015W	protein_coding	0	186	8	584	0	0	0	0	222	0	0	0	8	0	0	0	0	0	0	0	0	186	362
ACK1	YDL203C	YDL203C	protein_coding	1	190	86	887	0	0	0	0	450	0	0	0	86	0	0	0	0	0	1	0	0	190	437
ACM1	YPL267W	YPL267W	protein_coding	0	12	9	867	0	0	0	0	381	0	0	0	9	0	0	0	0	0	0	0	0	12	486
ACN9	YDR511W	YDR511W	protein_coding	0	37	15	821	0	0	0	0	437	0	0	0	15	0	0	0	0	0	0	0	0	37	384
ACO1	YLR304C	YLR304C	protein_coding	1	231	21	762	0	0	0	0	152	0	0	0	21	0	0	0	1	0	1	0	1	230	610
ACO2	YJL200C	YJL200C	protein_coding	0	251	43	985	0	0	0	0	606	0	0	0	43	0	0	0	0	0	0	0	0	251	379
ACP1	YKL192C	YKL192C	protein_coding	0	46	11	772	0	0	0	0	383	0	0	0	11	0	0	0	0	0	0	0	0	46	389
ACS1	YAL054C	YAL054C	protein_coding	0	148	12	786	0	0	0	0	358	0	0	0	12	0	0	0	0	0	0	0	0	148	428
ACS2	YLR153C	YLR153C	protein_coding	0	186	11	314	0	0	0	0	276	0	0	0	11	0	0	0	0	0	0	0	0	186	38
ACT1	YFL039C	YFL039C	protein_coding	8	1	29	884	0	0	0	0	575	0	0	19	29	0	0	0	0	0	2	6	0	1	290
ADA2	YDR448W	YDR448W	protein_coding	0	149	20	391	0	0	0	0	189	0	0	0	20	0	0	0	0	0	0	0	0	149	202
ADD37	YMR184W	YMR184W	protein_coding	0	47	35	614	0	0	0	0	387	0	0	0	35	0	0	0	0	0	0	0	0	47	227
ADD66	YKL206C	YKL206C	protein_coding	0	17	4	987	0	0	0	0	567	0	0	0	4	0	0	0	0	0	0	0	0	17	420
ADE1	YAR015W	YAR015W	protein_coding	0	74	7	825	0	0	0	0	590	0	0	0	7	0	0	0	0	0	0	0	0	74	235
ADE12	YNL220W	YNL220W	protein_coding	0	136	11	974	0	0	0	0	484	0	0	0	11	0	0	0	0	0	0	0	0	136	490
ADE13	YLR359W	YLR359W	protein_coding	0	168	8	864	0	0	0	0	475	0	0	0	8	0	0	0	0	0	0	0	0	168	389
ADE16	YLR028C	YLR028C	protein_coding	0	144	15	687	0	0	0	0	368	0	0	0	15	0	0	0	0	0	0	0	0	144	319
ADE17	YMR120C	YMR120C	protein_coding	0	150	9	265	0	0	0	0	180	0	0	0	9	0	0	0	0	0	0	0	0	150	85
ADE2	YOR128C	YOR128C	protein_coding	0	195	28	973	0	0	0	0	490	0	0	0	28	0	0	0	0	0	0	0	0	195	483
ADE3	YGR204W	YGR204W	protein_coding	0	316	38	929	0	0	0	0	505	0	0	0	38	0	0	0	0	0	0	0	0	316	424
ADE4	YMR300C	YMR300C	protein_coding	0	148	9	902	0	0	0	0	318	0	0	0	9	0	0	0	0	0	0	0	0	148	584
ADE5,7	YGL234W	YGL234W	protein_coding	0	252	44	1038	0	0	0	0	583	0	0	0	44	0	0	0	0	0	0	0	0	252	455
ADE6	YGR061C	YGR061C	protein_coding	0	429	75	708	0	0	0	0	353	0	0	0	75	0	0	0	0	0	0	0	0	429	355
ADE8	YDR408C	YDR408C	protein_coding	0	88	21	891	0	0	0	0	671	0	0	0	21	0	0	0	0	0	0	0	0	88	220
ADF1	YCL058W-A	YCL058W-A	protein_coding	0	36	18	779	0	0	0	0	434	0	0	0	18	0	0	0	0	0	0	0	0	36	345
ADH1	YOL086C	YOL086C	protein_coding	0	27	17	833	0	0	0	0	456	0	0	0	17	0	0	0	0	0	0	0	0	27	377
ADH2	YMR303C	YMR303C	protein_coding	0	71	18	1047	0	0	0	0	512	0	0	0	18	0	0	0	0	0	0	0	0	71	535
ADH3	YMR083W	YMR083W	protein_coding	0	94	13	315	0	0	0	0	128	0	0	0	13	0	0	0	0	0	0	0	0	94	187
ADH4	YGL256W	YGL256W	protein_coding	0	13	4	383	0	0	0	0	169	0	0	0	4	0	0	0	0	0	0	0	0	13	214
ADH5	YBR145W	YBR145W	protein_coding	0	80	11	747	0	0	0	0	389	0	0	0	11	0	0	0	0	0	0	0	0	80	358
ADH6	YMR318C	YMR318C	protein_coding	0	35	9	369	0	0	0	0	116	0	0	0	9	0	0	0	0	0	0	0	0	35	253
ADH7	YCR105W	YCR105W	protein_coding	0	101	32	403	0	0	0	0	318	0	0	0	32	0	0	0	0	0	0	0	0	101	85
ADI1	YMR009W	YMR009W	protein_coding	0	54	19	476	0	0	0	0	278	0	0	0	19	0	0	0	0	0	0	0	0	54	198
ADK1	YDR226W	YDR226W	protein_coding	0	57	10	233	0	0	0	0	137	0	0	0	10	0	0	0	0	0	0	0	0	57	96
ADK2	YER170W	YER170W	protein_coding	1	82	24	1074	0	0	0	0	457	1	0	0	24	0	0	0	0	0	0	0	0	82	617
ADO1	YJR105W	YJR105W	protein_coding	0	107	21	905	0	0	0	0	492	0	0	0	21	0	0	0	0	0	0	0	0	107	413
ADP1	YCR011C	YCR011C	protein_coding	0	293	42	682	0	0	0	0	364	0	0	0	42	0	0	0	0	0	0	0	0	293	318
ADR1	YDR216W	YDR216W	protein_coding	1	374	153	858	0	0	0	0	358	0	0	0	153	0	0	0	0	0	1	0	0	374	500
ADY2	YCR010C	YCR010C	protein_coding	0	47	6	729	0	0	0	0	329	0	0	0	6	0	0	0	0	0	0	0	0	47	400
ADY3	YDL239C	YDL239C	protein_coding	2	128	102	786	0	0	0	0	326	0	0	0	102	0	0	0	0	0	2	0	0	128	460
ADY4	YLR227C	YLR227C	protein_coding	0	122	80	441	0	0	0	0	406	0	0	0	80	0	0	0	0	0	0	0	0	122	35
AEP1	YMR064W	YMR064W	protein_coding	0	20	21	1113	0	0	0	0	610	0	0	0	21	0	0	0	0	0	0	0	0	20	503
AEP2	YMR282C	YMR282C	protein_coding	0	72	55	883	0	0	0	0	340	0	0	0	55	0	0	0	0	0	0	0	0	72	543
AEP3	YPL005W	YPL005W	protein_coding	0	143	85	960	0	0	0	0	407	0	0	0	85	0	0	0	0	0	0	0	0	143	553
AFG1	YEL052W	YEL052W	protein_coding	0	183	46	619	0	0	0	0	283	0	0	0	46	0	0	0	0	0	0	0	0	183	336
AFG2	YLR397C	YLR397C	protein_coding	0	244	69	1085	0	0	0	0	487	0	0	0	69	0	0	0	0	0	0	0	0	244	598
AFG3	YER017C	YER017C	protein_coding	0	212	14	761	0	0	0	0	440	0	0	0	14	0	0	0	0	0	0	0	0	212	321
AFI1	YOR129C	YOR129C	protein_coding	1	197	128	852	0	0	0	0	483	0	0	0	128	0	0	0	0	0	1	0	0	197	369
AFR1	YDR085C	YDR085C	protein_coding	0	87	56	593	0	0	0	0	322	0	0	0	56	0	0	0	0	0	0	0	0	87	271
AFT1	YGL071W	YGL071W	protein_coding	2	193	79	618	0	0	0	0	237	0	0	0	79	0	0	0	0	0	2	0	0	193	381
AFT2	YPL202C	YPL202C	protein_coding	0	44	14	629	0	0	0	0	376	0	0	0	14	0	0	0	0	0	0	0	0	44	253
AGA1	YNR044W	YNR044W	protein_coding	1	57	25	1051	0	0	0	0	632	0	0	0	25	0	0	0	0	0	1	0	0	57	419
AGA2	YGL032C	YGL032C	protein_coding	0	0	0	445	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	105
AGC1	YPR021C	YPR021C	protein_coding	0	213	69	728	0	0	0	0	390	0	0	0	69	0	0	0	0	0	0	0	0	213	338
AGE1	YDR524C	YDR524C	protein_coding	0	123	49	514	0	0	0	0	388	0	0	0	49	0	0	0	0	0	0	0	0	123	126
AGE2	YIL044C	YIL044C	protein_coding	1	88	44	875	0	0	0	0	334	0	0	0	44	0	0	0	0	0	1	0	0	88	541
AGP1	YCL025C	YCL025C	protein_coding	0	192	41	449	0	0	0	0	279	0	0	0	41	0	0	0	0	0	0	0	0	192	170
AGP2	YBR132C	YBR132C	protein_coding	0	157	19	1077	0	0	0	0	503	0	0	0	19	0	0	0	0	0	0	0	0	157	574
AGP3	YFL055W	YFL055W	protein_coding	2	152	42	645	0	0	0	0	332	0	0	0	42	0	0	0	0	0	2	0	0	152	313
AGX1	YFL030W	YFL030W	protein_coding	0	83	15	943	0	0	0	0	518	0	0	0	15	0	0	0	0	0	0	0	0	83	425
AHA1	YDR214W	YDR214W	protein_coding	0	99	28	1131	0	0	0	0	539	0	0	0	28	0	0	0	1	0	0	0	1	98	592
AHC1	YOR023C	YOR023C	protein_coding	1	178	74	782	0	0	0	0	334	0	0	0	74	0	0	0	0	0	1	0	0	178	448
AHC2	YCR082W	YCR082W	protein_coding	0	41	21	998	0	0	0	0	398	0	0	0	21	0	0	0	0	0	0	0	0	41	600
AHP1	YLR109W	YLR109W	protein_coding	0	44	9	446	0	0	0	0	183	0	0	0	9	0	0	0	0	0	0	0	0	44	263
AHT1	YHR093W	YHR093W	protein_coding	1	1	3	619	0	0	0	0	180	1	0	0	3	0	0	0	0	0	0	0	0	1	439
AI1	Q0050	Q0050	protein_coding	0	1	2	25	0	0	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	1	12
AI2	Q0055	Q0055	protein_coding	0	1	2	43	0	0	0	0	31	0	0	0	2	0	0	0	0	0	0	0	0	1	12
AI3	Q0060	Q0060	protein_coding	0	1	3	123	0	0	0	0	111	0	0	0	3	0	0	0	0	0	0	0	0	1	12
AI4	Q0065	Q0065	protein_coding	0	5	5	149	0	0	0	0	131	0	0	6	5	0	0	0	0	0	0	0	0	5	12
AI5_ALPHA	Q0070	Q0070	protein_coding	0	17	5	147	0	0	0	0	129	0	0	6	5	0	0	0	0	0	0	0	0	17	12
AI5_BETA	Q0075	Q0075	protein_coding	12	20	54	106	0	0	0	0	68	0	0	1	54	0	1	0	1	0	8	3	0	20	38
AIF1	YNR074C	YNR074C	protein_coding	0	0	1	279	0	0	0	0	194	0	0	0	1	0	0	0	0	0	0	0	0	0	85
AIM1	YAL046C	YAL046C	protein_coding	0	22	13	1159	0	0	0	0	618	0	0	0	13	0	0	0	0	0	0	0	0	22	541
AIM10	YER087W	YER087W	protein_coding	0	111	41	710	0	0	0	0	308	0	0	0	41	0	0	0	0	0	0	0	0	111	402
AIM11	YER093C-A	YER093C-A	protein_coding	4	22	38	994	0	0	0	0	649	0	0	10	38	0	0	0	3	0	1	3	0	19	338
AIM13	YFR011C	YFR011C	protein_coding	0	48	18	807	0	0	0	0	425	0	0	0	18	0	0	0	0	0	0	0	0	48	382
AIM14	YGL160W	YGL160W	protein_coding	2	133	75	445	0	0	0	0	110	0	0	0	75	0	0	0	0	0	2	0	0	133	335
AIM17	YHL021C	YHL021C	protein_coding	0	123	28	1105	0	0	0	0	553	0	0	0	28	0	0	0	0	0	0	0	0	123	552
AIM18	YHR198C	YHR198C	protein_coding	0	48	20	743	0	0	0	0	373	0	0	0	20	0	0	0	0	0	0	0	0	48	370
AIM19	YIL087C	YIL087C	protein_coding	0	62	9	859	0	0	0	0	346	0	0	0	9	0	0	0	0	0	0	0	0	62	513
AIM2	YAL049C	YAL049C	protein_coding	0	89	36	1146	0	0	0	0	563	0	0	0	36	0	0	0	1	0	0	0	1	88	583
AIM20	YIL158W	YIL158W	protein_coding	0	1	3	1138	0	0	0	0	471	0	0	0	3	0	0	0	0	0	0	0	0	1	667
AIM21	YIR003W	YIR003W	protein_coding	0	11	15	731	0	0	0	0	308	0	0	0	15	0	0	0	0	0	0	0	0	11	423
AIM22	YJL046W	YJL046W	protein_coding	0	81	40	788	0	0	0	0	339	0	0	0	40	0	0	0	0	0	0	0	0	81	449
AIM23	YJL131C	YJL131C	protein_coding	0	80	45	856	0	0	0	0	374	0	0	0	45	0	0	0	0	0	0	0	0	80	482
AIM24	YJR080C	YJR080C	protein_coding	2	142	68	733	0	0	0	0	404	0	0	0	68	0	0	0	0	0	2	0	0	142	329
AIM25	YJR100C	YJR100C	protein_coding	1	82	37	759	0	0	0	0	369	0	0	0	37	0	0	0	0	0	1	0	0	82	390
AIM26	YKL037W	YKL037W	protein_coding	0	0	0	922	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	355
AIM27	YKL207W	YKL207W	protein_coding	0	105	20	975	0	0	0	0	402	0	0	0	20	0	0	0	0	0	0	0	0	105	573
AIM29	YKR074W	YKR074W	protein_coding	0	9	2	603	0	0	0	0	264	0	0	0	2	0	0	0	0	0	0	0	0	9	339
AIM3	YBR108W	YBR108W	protein_coding	0	54	53	723	1	0	0	2	361	0	0	0	50	0	0	0	0	0	0	0	0	54	362
AIM31	YML030W	YML030W	protein_coding	0	26	5	1069	0	0	0	0	517	0	0	0	5	0	0	0	0	0	0	0	0	26	552
AIM32	YML050W	YML050W	protein_coding	0	58	22	920	0	0	0	0	547	0	0	0	22	0	0	0	0	0	0	0	0	58	373
AIM33	YML087C	YML087C	protein_coding	0	117	45	864	0	0	0	0	403	0	0	0	45	0	0	0	0	0	0	0	0	117	461
AIM34	YMR003W	YMR003W	protein_coding	1	2	2	544	0	0	0	0	313	0	0	0	2	0	0	0	1	0	0	1	0	2	231
AIM36	YMR157C	YMR157C	protein_coding	0	19	6	1028	0	0	0	0	615	0	0	0	6	0	0	0	0	0	0	0	0	19	413
AIM37	YNL100W	YNL100W	protein_coding	0	14	12	870	0	0	0	0	313	0	0	0	12	0	0	0	0	0	0	0	0	14	557
AIM38	YNR018W	YNR018W	protein_coding	0	47	4	872	0	0	0	0	519	0	0	0	4	0	0	0	0	0	0	0	0	47	353
AIM39	YOL053W	YOL053W	protein_coding	2	125	59	401	0	0	0	0	218	0	0	0	59	0	0	0	0	0	2	0	0	125	183
AIM4	YBR194W	YBR194W	protein_coding	0	7	7	585	0	0	0	0	287	0	0	0	7	0	0	0	0	0	0	0	0	7	298
AIM41	YOR215C	YOR215C	protein_coding	1	54	15	616	0	0	0	0	261	0	0	0	15	0	0	0	0	0	1	0	0	54	355
AIM43	YPL099C	YPL099C	protein_coding	0	8	4	1053	0	0	0	0	456	0	0	0	4	0	0	0	0	0	0	0	0	8	597
AIM44	YPL158C	YPL158C	protein_coding	0	115	71	642	0	2	0	0	335	0	0	0	69	0	0	0	0	0	0	0	0	115	307
AIM45	YPR004C	YPR004C	protein_coding	0	104	32	800	0	0	0	0	430	0	0	0	32	0	0	0	0	0	0	0	0	104	370
AIM46	YHR199C	YHR199C	protein_coding	0	109	31	735	0	0	0	0	351	0	0	0	31	0	0	0	0	0	0	0	0	109	384
AIM5	YBR262C	YBR262C	protein_coding	0	17	11	1135	0	0	0	0	518	0	0	0	11	0	0	0	0	0	0	0	0	17	617
AIM6	YDL237W	YDL237W	protein_coding	0	91	42	870	0	0	0	0	459	0	0	0	42	0	0	0	0	0	0	0	0	91	411
AIM7	YDR063W	YDR063W	protein_coding	0	29	11	637	0	0	0	0	216	0	0	0	11	0	0	0	0	0	0	0	0	29	421
AIM9	YER080W	YER080W	protein_coding	0	188	53	993	0	0	0	0	568	0	0	0	53	0	0	0	0	0	0	0	0	188	425
AIP1	YMR092C	YMR092C	protein_coding	0	168	75	972	0	0	0	0	537	0	0	0	75	0	0	0	1	0	0	0	1	167	435
AIR1	YIL079C	YIL079C	protein_coding	0	92	38	670	0	0	0	0	335	0	0	0	38	0	0	0	0	0	0	0	0	92	335
AIR2	YDL175C	YDL175C	protein_coding	0	80	41	1084	0	0	0	0	567	0	0	0	41	0	0	0	0	0	0	0	0	80	517
AKL1	YBR059C	YBR059C	protein_coding	1	383	159	818	0	0	0	0	550	0	0	0	159	0	0	0	0	0	1	0	0	383	268
AKR1	YDR264C	YDR264C	protein_coding	1	207	68	719	0	0	0	0	274	0	0	0	68	0	0	0	0	0	1	0	0	207	445
AKR2	YOR034C	YOR034C	protein_coding	1	197	85	901	0	0	0	0	446	0	0	0	85	0	0	0	0	1	0	0	0	197	455
ALA1	YOR335C	YOR335C	protein_coding	0	308	49	1261	0	0	0	0	586	0	0	0	49	0	0	0	0	0	0	0	0	308	675
ALB1	YJL122W	YJL122W	protein_coding	0	55	19	988	0	0	0	0	498	0	0	0	19	0	0	0	0	0	0	0	0	55	490
ALD2	YMR170C	YMR170C	protein_coding	0	174	44	821	0	0	0	0	495	0	0	0	44	0	0	0	0	0	0	0	0	174	326
ALD3	YMR169C	YMR169C	protein_coding	0	82	23	1040	0	0	0	0	609	0	0	0	23	0	0	0	0	0	0	0	0	82	431
ALD4	YOR374W	YOR374W	protein_coding	0	159	22	737	0	0	0	0	143	0	0	0	22	0	0	0	0	0	0	0	0	159	594
ALD5	YER073W	YER073W	protein_coding	0	154	19	665	0	0	0	0	379	0	0	0	19	0	0	0	0	0	0	0	0	154	286
ALD6	YPL061W	YPL061W	protein_coding	0	142	7	579	0	0	0	0	156	0	0	0	7	0	0	0	0	0	0	0	0	142	423
ALE1	YOR175C	YOR175C	protein_coding	0	127	28	569	0	0	0	0	323	0	0	0	28	0	0	0	0	0	0	0	0	127	246
ALF1	YNL148C	YNL148C	protein_coding	0	42	23	471	0	0	0	0	372	0	0	0	23	0	0	0	0	0	0	0	0	42	99
ALG1	YBR110W	YBR110W	protein_coding	0	99	36	638	0	0	0	0	386	0	0	0	36	0	0	0	0	0	0	0	0	99	252
ALG11	YNL048W	YNL048W	protein_coding	1	192	83	1071	0	0	0	0	563	0	0	0	83	0	0	0	0	0	1	0	0	192	508
ALG12	YNR030W	YNR030W	protein_coding	0	165	63	1087	0	0	0	0	606	0	0	0	63	0	0	0	0	0	0	0	0	165	481
ALG13	YGL047W	YGL047W	protein_coding	1	44	25	667	0	0	0	0	253	0	0	0	25	0	0	0	0	0	1	0	0	44	414
ALG14	YBR070C	YBR070C	protein_coding	0	46	27	828	0	0	0	0	428	0	0	0	27	0	0	0	0	0	0	0	0	46	400
ALG2	YGL065C	YGL065C	protein_coding	0	163	47	662	0	0	0	0	266	0	0	0	47	0	0	0	0	0	0	0	0	163	396
ALG3	YBL082C	YBL082C	protein_coding	0	73	33	799	0	0	0	0	343	0	0	0	33	0	0	0	0	0	0	0	0	73	456
ALG5	YPL227C	YPL227C	protein_coding	0	102	37	657	0	0	0	0	221	0	0	0	37	0	0	0	0	0	0	0	0	102	436
ALG6	YOR002W	YOR002W	protein_coding	1	199	29	787	0	0	0	0	436	0	0	0	29	0	0	0	0	0	1	0	0	199	351
ALG7	YBR243C	YBR243C	protein_coding	0	129	13	790	0	0	0	0	365	0	0	0	13	0	0	0	0	0	0	0	0	129	425
ALG8	YOR067C	YOR067C	protein_coding	0	153	23	813	0	0	0	0	253	0	0	0	23	0	0	0	0	0	0	0	0	153	560
ALG9	YNL219C	YNL219C	protein_coding	0	180	44	947	0	0	0	0	552	0	0	0	44	0	0	0	0	0	0	0	0	180	395
ALK1	YGL021W	YGL021W	protein_coding	1	206	117	943	0	0	0	0	556	0	0	0	117	0	0	0	0	0	1	0	0	206	387
ALK2	YBL009W	YBL009W	protein_coding	0	114	50	769	0	0	0	0	410	0	0	0	50	0	0	0	0	0	0	0	0	114	359
ALO1	YML086C	YML086C	protein_coding	0	138	24	846	0	0	0	0	410	0	0	0	24	0	0	0	0	0	0	0	0	138	436
ALP1	YNL270C	YNL270C	protein_coding	0	145	25	1025	0	0	0	0	553	0	0	0	25	0	0	0	0	0	0	0	0	145	472
ALR1	YOL130W	YOL130W	protein_coding	3	322	129	535	0	0	0	0	223	0	0	0	129	0	0	0	0	0	3	0	0	322	312
ALR2	YFL050C	YFL050C	protein_coding	1	23	24	664	0	0	0	0	181	1	0	0	24	0	0	0	0	0	0	0	0	23	483
ALT1	YLR089C	YLR089C	protein_coding	0	192	34	1076	0	0	0	0	579	0	0	0	34	0	0	0	0	0	0	0	0	192	497
ALT2	YDR111C	YDR111C	protein_coding	1	161	45	625	0	0	0	0	291	0	0	0	45	0	0	0	0	0	1	0	0	161	334
ALY1	YKR021W	YKR021W	protein_coding	1	299	91	1060	0	0	0	0	498	0	0	0	91	0	0	0	0	0	1	0	0	299	562
ALY2	YJL084C	YJL084C	protein_coding	0	259	81	1051	0	0	0	0	566	0	0	0	81	0	0	0	0	0	0	0	0	259	485
AMA1	YGR225W	YGR225W	protein_coding	3	109	88	686	0	0	0	0	336	0	0	3	88	0	0	0	0	0	2	1	0	109	347
AMD1	YML035C	YML035C	protein_coding	0	253	56	692	0	0	0	0	307	0	0	0	56	0	0	0	1	0	0	0	1	252	385
AMD2	YDR242W	YDR242W	protein_coding	1	176	68	780	0	0	0	0	576	0	0	0	68	0	0	0	0	0	1	0	0	176	204
AME1	YBR211C	YBR211C	protein_coding	0	92	57	672	0	0	0	0	231	0	0	0	57	0	0	0	0	0	0	0	0	92	441
AMN1	YBR158W	YBR158W	protein_coding	0	112	60	808	0	0	0	0	445	0	0	0	60	0	0	0	0	0	0	0	0	112	363
AMS1	YGL156W	YGL156W	protein_coding	0	321	75	810	0	0	0	0	590	0	0	0	75	0	0	0	0	0	0	0	0	321	220
ANB1	YJR047C	YJR047C	protein_coding	0	23	5	730	0	0	0	0	423	0	0	0	5	0	0	0	0	0	0	0	0	23	307
ANP1	YEL036C	YEL036C	protein_coding	0	151	25	749	1	0	0	0	338	0	0	0	24	0	0	0	0	0	0	0	0	151	411
ANS1	YHR126C	YHR126C	protein_coding	0	0	0	551	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	277
ANT1	YPR128C	YPR128C	protein_coding	0	87	32	609	0	0	0	0	391	0	0	0	32	0	0	0	0	0	0	0	0	87	218
AOS1	YPR180W	YPR180W	protein_coding	0	133	52	724	0	0	0	0	225	0	0	0	52	0	0	0	0	0	0	0	0	133	499
APA1	YCL050C	YCL050C	protein_coding	0	67	16	706	0	0	0	0	318	0	0	0	16	0	0	0	0	0	0	0	0	67	388
APA2	YDR530C	YDR530C	protein_coding	0	3	0	686	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	3	427
APC1	YNL172W	YNL172W	protein_coding	1	387	175	568	1	0	1	0	442	0	0	0	173	0	0	0	0	0	1	0	0	387	126
APC11	YDL008W	YDL008W	protein_coding	0	58	24	571	0	0	0	0	135	0	0	0	24	0	0	0	0	0	0	0	0	58	436
